Port,State,Service,Version,Product,Extra Info,OS CPE
22,open,ssh,9.7p1 Debian 7,OpenSSH,protocol 2.0,cpe:/o:linux:linux_kernel
80,open,http,,Apache httpd,,cpe:/a:apache:http_server
